title,price,source
Fortnite - Necessary,23.29,Google Shopping
The Legend of Zelda - Within,30.13,Google Shopping
Baldur's Gate 3 - Since,66.59,Google Shopping
GTA V - Only,61.26,Google Shopping
Animal Crossing - Project,16.57,Google Shopping
Starfield - Letter,15.21,Google Shopping
Hogwarts Legacy - Agent,25.31,Google Shopping
Baldur's Gate 3 - Service,44.33,Google Shopping
The Legend of Zelda - Summer,71.04,Google Shopping
Baldur's Gate 3 - Sell,29.02,Google Shopping
Assassin’s Creed - Word,27.07,Google Shopping
Mario Kart - Form,60.53,Google Shopping
GTA V - Fire,44.01,Google Shopping
FIFA 24 - Service,33.32,Google Shopping
Elden Ring - Wonder,79.56,Google Shopping
Fortnite - Authority,20.77,Google Shopping
GTA V - Difference,77.59,Google Shopping
FIFA 24 - Card,17.79,Google Shopping
Red Dead Redemption 2 - Middle,44.77,Google Shopping
Starfield - Enough,12.01,Google Shopping
Red Dead Redemption 2 - In,43.49,Google Shopping
The Legend of Zelda - Enough,42.91,Google Shopping
Cyberpunk 2077 - Activity,77.91,Google Shopping
Assassin’s Creed - Quite,20.03,Google Shopping
Red Dead Redemption 2 - Send,53.89,Google Shopping
Minecraft - Analysis,39.3,Google Shopping
Cyberpunk 2077 - Factor,47.01,Google Shopping
Baldur's Gate 3 - Else,39.18,Google Shopping
Elden Ring - Probably,20.71,Google Shopping
GTA V - Sister,70.56,Google Shopping
Assassin’s Creed - International,49.02,Google Shopping
Mario Kart - Born,43.14,Google Shopping
Animal Crossing - Audience,56.71,Google Shopping
Starfield - Follow,67.68,Google Shopping
Mario Kart - Life,60.93,Google Shopping
Hogwarts Legacy - Lead,32.8,Google Shopping
FIFA 24 - If,75.83,Google Shopping
Red Dead Redemption 2 - Behind,73.49,Google Shopping
Hogwarts Legacy - Add,74.07,Google Shopping
Animal Crossing - Officer,64.87,Google Shopping
Fortnite - Myself,68.12,Google Shopping
Elden Ring - Big,14.29,Google Shopping
Starfield - Security,29.66,Google Shopping
GTA V - Wish,17.94,Google Shopping
Baldur's Gate 3 - Try,37.8,Google Shopping
Elden Ring - Care,65.24,Google Shopping
Minecraft - Provide,71.09,Google Shopping
FIFA 24 - Rich,54.57,Google Shopping
Baldur's Gate 3 - When,78.08,Google Shopping
Elden Ring - Charge,62.24,Google Shopping
Minecraft - Employee,59.34,Google Shopping
Minecraft - Modern,20.04,Google Shopping
Red Dead Redemption 2 - Work,51.52,Google Shopping
Cyberpunk 2077 - Think,65.31,Google Shopping
Call of Duty - Color,29.38,Google Shopping
Animal Crossing - Professional,66.63,Google Shopping
Mario Kart - Drop,24.65,Google Shopping
Red Dead Redemption 2 - Assume,60.72,Google Shopping
Starfield - Because,12.08,Google Shopping
Assassin’s Creed - Individual,65.22,Google Shopping
The Legend of Zelda - Marriage,24.58,Google Shopping
Call of Duty - Order,58.85,Google Shopping
Baldur's Gate 3 - Show,22.52,Google Shopping
Animal Crossing - Relate,28.39,Google Shopping
Fortnite - Pretty,29.76,Google Shopping
Elden Ring - Director,29.09,Google Shopping
Cyberpunk 2077 - Candidate,35.78,Google Shopping
Minecraft - Agent,47.17,Google Shopping
FIFA 24 - Father,79.83,Google Shopping
Starfield - She,22.03,Google Shopping
GTA V - Line,54.94,Google Shopping
Starfield - Space,18.15,Google Shopping
Red Dead Redemption 2 - Town,64.72,Google Shopping
Hogwarts Legacy - We,46.29,Google Shopping
Animal Crossing - Our,14.42,Google Shopping
Fortnite - Appear,58.7,Google Shopping
Red Dead Redemption 2 - Alone,54.01,Google Shopping
Hogwarts Legacy - Myself,32.37,Google Shopping
Hogwarts Legacy - Never,71.18,Google Shopping
Red Dead Redemption 2 - Minute,51.69,Google Shopping
The Legend of Zelda - Ago,73.54,Google Shopping
Minecraft - Dog,17.81,Google Shopping
FIFA 24 - Compare,32.1,Google Shopping
Elden Ring - Maintain,65.83,Google Shopping
Baldur's Gate 3 - Production,11.86,Google Shopping
Cyberpunk 2077 - Agree,73.74,Google Shopping
The Legend of Zelda - Wind,61.45,Google Shopping
Assassin’s Creed - Team,37.57,Google Shopping
Assassin’s Creed - Majority,45.01,Google Shopping
Cyberpunk 2077 - Western,74.5,Google Shopping
Cyberpunk 2077 - Stay,46.35,Google Shopping
Animal Crossing - There,49.96,Google Shopping
Cyberpunk 2077 - Base,79.57,Google Shopping
Animal Crossing - Responsibility,42.49,Google Shopping
Minecraft - Available,71.93,Google Shopping
The Legend of Zelda - Show,31.47,Google Shopping
Mario Kart - Finish,36.18,Google Shopping
Assassin’s Creed - Brother,35.85,Google Shopping
Red Dead Redemption 2 - Thousand,58.94,Google Shopping
Mario Kart - Cultural,47.28,Google Shopping
Call of Duty - Question,58.18,Google Shopping
Baldur's Gate 3 - Father,40.58,Google Shopping
Call of Duty - Station,21.78,Google Shopping
Cyberpunk 2077 - Democratic,37.37,Google Shopping
GTA V - Fact,25.31,Google Shopping
Minecraft - Simply,70.05,Google Shopping
Fortnite - Off,46.52,Google Shopping
Cyberpunk 2077 - Everyone,28.05,Google Shopping
GTA V - Among,77.9,Google Shopping
FIFA 24 - Be,42.64,Google Shopping
Cyberpunk 2077 - Music,31.28,Google Shopping
Baldur's Gate 3 - Score,68.94,Google Shopping
Red Dead Redemption 2 - Well,69.05,Google Shopping
GTA V - Could,74.05,Google Shopping
Cyberpunk 2077 - All,70.08,Google Shopping
FIFA 24 - Add,75.21,Google Shopping
Elden Ring - Include,54.98,Google Shopping
The Legend of Zelda - Education,34.3,Google Shopping
Assassin’s Creed - Father,55.13,Google Shopping
Assassin’s Creed - Few,58.32,Google Shopping
Elden Ring - Can,26.88,Google Shopping
Cyberpunk 2077 - Tough,64.62,Google Shopping
Assassin’s Creed - Discuss,41.93,Google Shopping
Fortnite - Happy,37.25,Google Shopping
FIFA 24 - Child,76.87,Google Shopping
Starfield - Six,31.13,Google Shopping
Elden Ring - However,58.1,Google Shopping
FIFA 24 - Anyone,48.9,Google Shopping
Call of Duty - Term,26.15,Google Shopping
The Legend of Zelda - Toward,29.92,Google Shopping
Baldur's Gate 3 - Relate,42.68,Google Shopping
Fortnite - Action,67.85,Google Shopping
Starfield - Whole,60.69,Google Shopping
Mario Kart - Name,68.78,Google Shopping
Elden Ring - Bring,52.61,Google Shopping
Animal Crossing - Consumer,24.43,Google Shopping
FIFA 24 - Past,23.38,Google Shopping
Assassin’s Creed - Again,28.24,Google Shopping
Minecraft - Bit,14.96,Google Shopping
FIFA 24 - President,10.41,Google Shopping
FIFA 24 - Tonight,42.3,Google Shopping
Mario Kart - Involve,48.58,Google Shopping
Assassin’s Creed - Case,59.03,Google Shopping
Hogwarts Legacy - Require,59.54,Google Shopping
Animal Crossing - Share,77.88,Google Shopping
FIFA 24 - Word,31.47,Google Shopping
Minecraft - Third,11.95,Google Shopping
Fortnite - Order,10.77,Google Shopping
Baldur's Gate 3 - Republican,63.88,Google Shopping
GTA V - Media,79.96,Google Shopping
Mario Kart - Music,64.2,Google Shopping
Elden Ring - Worry,62.35,Google Shopping
Animal Crossing - Understand,40.52,Google Shopping
Call of Duty - Family,45.36,Google Shopping
Starfield - Local,11.59,Google Shopping
Hogwarts Legacy - Guess,77.89,Google Shopping
Baldur's Gate 3 - Sure,62.9,Google Shopping
Red Dead Redemption 2 - Simply,51.57,Google Shopping
FIFA 24 - Require,36.61,Google Shopping
Animal Crossing - Rock,32.86,Google Shopping
Cyberpunk 2077 - Reason,54.8,Google Shopping
Cyberpunk 2077 - Maintain,53.75,Google Shopping
Elden Ring - Degree,56.87,Google Shopping
Starfield - Couple,73.62,Google Shopping
Animal Crossing - Within,54.99,Google Shopping
Mario Kart - Capital,71.99,Google Shopping
Mario Kart - Evidence,41.99,Google Shopping
Red Dead Redemption 2 - Watch,48.3,Google Shopping
Fortnite - Discover,23.27,Google Shopping
Assassin’s Creed - Fall,52.6,Google Shopping
Assassin’s Creed - Seek,37.84,Google Shopping
Assassin’s Creed - Growth,47.41,Google Shopping
Hogwarts Legacy - Use,77.94,Google Shopping
Mario Kart - Consider,70.6,Google Shopping
Fortnite - Young,27.25,Google Shopping
Starfield - One,72.01,Google Shopping
Minecraft - Old,11.88,Google Shopping
Minecraft - Night,49.36,Google Shopping
Starfield - But,41.38,Google Shopping
Assassin’s Creed - Year,79.67,Google Shopping
Cyberpunk 2077 - Add,50.07,Google Shopping
Minecraft - Discuss,57.52,Google Shopping
Animal Crossing - Stay,55.29,Google Shopping
GTA V - Message,47.45,Google Shopping
Minecraft - Institution,66.95,Google Shopping
Red Dead Redemption 2 - Blue,49.0,Google Shopping
Assassin’s Creed - Production,75.56,Google Shopping
Mario Kart - Arrive,64.26,Google Shopping
Hogwarts Legacy - Job,18.71,Google Shopping
The Legend of Zelda - Often,43.83,Google Shopping
Fortnite - Eye,48.3,Google Shopping
Starfield - Plant,22.61,Google Shopping
Mario Kart - Produce,74.19,Google Shopping
Animal Crossing - Growth,33.19,Google Shopping
